Tree,Fcln,Mcln
850402,.,.
850392,.,.
850248,.,.
850363,.,.
850475,.,.
850474,.,.
850280,.,.
850320,.,.
850394,.,.
850115,.,.
850537,.,.
850427,.,.
850542,.,.
850538,.,.
266230,.,.
286751,.,.
286752,.,.
286754,.,.
286755,.,.
286756,.,.
286757,.,.
286759,.,.
286760,.,.
286761,.,.
286762,.,.
286763,.,.
286764,.,.
286765,.,.
286766,.,.
286767,.,.
875239,268354,.
875012,268345,.
288001,875239,875012
875006,268231,.
288002,875258,875006
875071,268093,.
875041,268117,.
288003,875071,875041
288004,875071,875041
875074,268543,.
288005,875074,875250
875204,268207,.
875296,268215,.
288006,875204,875296
875215,268395,.
288008,875012,875215
288009,875204,875076
875050,268609,.
288010,875203,875050
875088,268287,.
288011,875088,875293
288012,268547,875077
875244,268494,.
288014,268479,875244
288101,875258,875067
875046,268362,.
288104,875046,875067
288105,875046,875258
875044,268609,.
288108,875076,875044
288109,875076,875044
288110,875076,875296
875235,268371,.
288111,875062,875235
288112,875062,875235
875266,268609,.
288113,268124,875266
288114,.,.
288115,268494,875250
875224,268041,.
288202,268311,875224
875220,268118,.
288301,875220,875077
875270,268463,.
288402,875066,875270
875218,268093,.
875098,268579,.
288403,875218,875098
875030,268086,.
875069,268109,.
875095,268086,.
875063,268494,.
875261,268061,.
875256,268054,.
875093,268067,.
875009,268101,.
875202,268061,.
875080,268157,.
875210,268123,.
875255,268125,.
875216,268622,.
875229,268274,.
875222,268584,.
875207,268089,.
875265,268431,.
875048,268327,.
875223,268109,.
875247,268525,.
875018,268479,.
875253,268231,.
875275,268044,.
875068,268556,.
875090,268003,.
875043,268274,.
875274,268109,.
875079,268494,.
875241,268065,.
875040,268107,.
875015,268529,.
875021,268093,.
875288,268362,.
875243,268445,.
875020,268293,.
875205,268231,.
875065,268143,.
875035,268402,.
875254,268107,.
875031,268213,.
875295,268405,.
885373,.,.
306001,885373,268228
887785,.,.
306002,885429,887785
306003,885373,268262
306004,268093,268228
306005,885429,887785
306006,268531,887915
885079,870608,.
887769,.,.
306007,885079,887769
887801,.,870580
306008,887801,268531
306009,885429,880733
306010,887769,888532
887841,.,.
306011,887841,268005
306012,885373,268262
306013,268556,268228
306014,885220,888560
306015,885324,887855
887734,.,.
306016,887734,268341
306017,268556,268228
885441,.,.
306018,885441,268228
306019,885001,268543
306020,885124,887785
887826,268249,.
306021,885429,887826
883071,870600,.
306022,883071,870529
306023,883064,870568
883025,870608,.
883058,870529,268371
306024,883025,883058
306025,885220,888560
887806,.,.
306026,887806,268062
885003,.,.
306027,885003,268054
883021,870523,.
306028,883021,870613
887795,.,.
306029,880732,887795
306030,268429,883022
306031,883071,870529
885094,.,.
888534,268330,.
306032,885094,888534
306033,268317,268405
306035,268556,268228
306036,268315,887773
306037,887841,268005
306038,883058,870613
885113,.,.
306039,885113,268350
306040,887841,268005
306041,883021,870613
306042,887734,268341
306043,887734,268531
306044,885220,888560
306045,885003,268350
306046,885429,880733
306047,885094,888534
306048,885003,268350
